FirstStage , RootNode , buys , 1101 , 997008.973081
FirstStage , RootNode , buys , 1102 , 0.0
FirstStage , RootNode , sells , 1101 , 0.0
FirstStage , RootNode , sells , 1102 , 0.0
FirstStage , RootNode , FirstStageWealth , None , 0.0
SecondStage , Node1 , riskFreeWealth , None , 0.0
SecondStage , Node1 , riskyWealth , 1101 , 997008.973081
SecondStage , Node1 , riskyWealth , 1102 , 0.0
SecondStage , Node1 , SecondStageWealth , None , 1254436.68993
SecondStage , Node0 , riskFreeWealth , None , 0.0
SecondStage , Node0 , riskyWealth , 1101 , 997008.973081
SecondStage , Node0 , riskyWealth , 1102 , 0.0
SecondStage , Node0 , SecondStageWealth , None , 1138783.64905
SecondStage , Node3 , riskFreeWealth , None , 0.0
SecondStage , Node3 , riskyWealth , 1101 , 997008.973081
SecondStage , Node3 , riskyWealth , 1102 , 0.0
SecondStage , Node3 , SecondStageWealth , None , 1034995.01496
SecondStage , Node2 , riskyWealth , 1102 , 0.0
SecondStage , Node2 , riskFreeWealth , None , 0.0
SecondStage , Node2 , riskyWealth , 1101 , 997008.973081
SecondStage , Node2 , SecondStageWealth , None , 1009890.32901
SecondStage , Node4 , riskFreeWealth , None , 0.0
SecondStage , Node4 , riskyWealth , 1101 , 997008.973081
SecondStage , Node4 , riskyWealth , 1102 , 0.0
SecondStage , Node4 , SecondStageWealth , None , 1044167.49751
