FirstStage , RootNode , Z , None , 1030911.00839
FirstStage , RootNode , buys , 1101 , 31872.1788695
FirstStage , RootNode , buys , 1102 , 965136.794211
FirstStage , RootNode , sells , 1101 , 0.0
FirstStage , RootNode , sells , 1102 , 0.0
FirstStage , RootNode , FirstStageCost , None , 1030911.00839
SecondStage , Node1 , riskyWealth , 1101 , 31872.1788695
SecondStage , Node1 , riskyWealth , 1102 , 965136.794211
SecondStage , Node1 , Ys , None , 0.0
SecondStage , Node1 , riskFreeWealth , None , -1.16415321827e-10
SecondStage , Node1 , SecondStageCost , None , 0.0
SecondStage , Node0 , Ys , None , 0.0
SecondStage , Node0 , riskFreeWealth , None , -6.91215973347e-11
SecondStage , Node0 , riskyWealth , 1101 , 31872.1788695
SecondStage , Node0 , riskyWealth , 1102 , 965136.794211
SecondStage , Node0 , SecondStageCost , None , 0.0
SecondStage , Node3 , riskyWealth , 1101 , 31872.1788695
SecondStage , Node3 , riskyWealth , 1102 , 965136.794211
SecondStage , Node3 , Ys , None , 0.0
SecondStage , Node3 , riskFreeWealth , None , -6.91215973347e-11
SecondStage , Node3 , SecondStageCost , None , 0.0
SecondStage , Node2 , Ys , None , 0.0
SecondStage , Node2 , riskFreeWealth , None , -1.16415321827e-10
SecondStage , Node2 , riskyWealth , 1101 , 31872.1788695
SecondStage , Node2 , riskyWealth , 1102 , 965136.794211
SecondStage , Node2 , SecondStageCost , None , 0.0
SecondStage , Node4 , riskyWealth , 1101 , 31872.1788695
SecondStage , Node4 , riskyWealth , 1102 , 965136.794211
SecondStage , Node4 , Ys , None , 0.0
SecondStage , Node4 , riskFreeWealth , None , 0.0
SecondStage , Node4 , SecondStageCost , None , 0.0
